Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc
3426798,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,https://www.drupal.org/project/drupal/issues/3426798,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 9 months,3.3.2
3559162,Accessing a toolbar sub-menu seems to result in a keyboard trap,Accessing a toolbar sub-menu seems to result in a keyboard trap,https://www.drupal.org/project/drupal/issues/3559162,drupal,Active,Normal,ckeditor5.module,11.x-dev,3 weeks 6 days,2.1.2
2975863,Add an exposed filter to the Taxonomy overview view page,Add an exposed filter to the Taxonomy overview view page,https://www.drupal.org/project/drupal/issues/2975863,drupal,Needs work,Normal,taxonomy.module,11.x-dev,7 years 6 months,1.4.1
1797438,HTML5 validation is preventing form submit and not fully accessible,HTML5 validation is preventing form submit and not fully accessible,https://www.drupal.org/project/drupal/issues/1797438,drupal,Needs work,Major,forms system,11.x-dev,13 years 2 months,3.3.1
893530,Multi level (multirow) header for table FAPI element,Multi level (multirow) header for table FAPI element,https://www.drupal.org/project/drupal/issues/893530,drupal,Needs review,Normal,theme system,11.x-dev,15 years 3 months,1.3.1
2912732,Table Drag always showing lines,Table Drag always showing lines,https://www.drupal.org/project/drupal/issues/2912732,drupal,Active,Normal,javascript,11.x-dev,8 years 2 months,General
3093378,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,https://www.drupal.org/project/drupal/issues/3093378,drupal,Needs review,Normal,toolbar.module,11.x-dev,6 years 1 month,4.1.2
2958654,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,https://www.drupal.org/project/drupal/issues/2958654,drupal,Needs work,Normal,javascript,11.x-dev,7 years 8 months,2.5.2
3348552,"Pager template fails accessibility tests for Ellipsis (""..."")","Pager template fails accessibility tests for Ellipsis (""..."")",https://www.drupal.org/project/drupal/issues/3348552,drupal,Reviewed & tested by the community,Normal,theme system,11.x-dev,2 years 9 months,4.1.2
3174459,W3C Validation: required attribute not allowed on fieldset tag,W3C Validation: required attribute not allowed on fieldset tag,https://www.drupal.org/project/drupal/issues/3174459,drupal,Needs work,Normal,forms system,11.x-dev,5 years 2 months,4.1.1
3545814,Exposed filters with exposed operators are missing accessible names,Exposed filters with exposed operators are missing accessible names,https://www.drupal.org/project/drupal/issues/3545814,drupal,Needs work,Normal,views.module,11.x-dev,3 months 1 week,4.1.2
3542774,The “reduce motion” setting in the operating system should be respected,The “reduce motion” setting in the operating system should be respected,https://www.drupal.org/project/drupal/issues/3542774,drupal,Needs review,Major,navigation.module,11.x-dev,3 months 3 weeks,2.3.3
1852090,"Cached forms can have duplicate HTML IDs, which disrupts accessible form labels","Cached forms can have duplicate HTML IDs, which disrupts accessible form labels",https://www.drupal.org/project/drupal/issues/1852090,drupal,Needs work,Major,forms system,11.x-dev,13 years 3 weeks,4.1.2
3410598,CKEditor 5: scroll jump after dialog close,CKEditor 5: scroll jump after dialog close,https://www.drupal.org/project/drupal/issues/3410598,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 12 months,General
3415961,[drupalMedia] Using the Insert Media button causes the window to scroll to the bottom of the page,[drupalMedia] Using the Insert Media button causes the window to scroll to the bottom of the page,https://www.drupal.org/project/drupal/issues/3415961,drupal,Needs work,Normal,media system,11.x-dev,1 year 11 months,General
3391723,[PLAN] Accessibility review for new Navigation bar,[PLAN] Accessibility review for new Navigation bar,https://www.drupal.org/project/drupal/issues/3391723,drupal,Active,Major,navigation.module,11.x-dev,2 years 2 months,General
3532392,Add an API for hotkeys to Drupal core,Add an API for hotkeys to Drupal core,https://www.drupal.org/project/drupal/issues/3532392,drupal,Active,Normal,user system,11.x-dev,5 months 3 weeks,2.1.1
3037446,Forms with required fields marked by asterisk do not have text explaining what the asterisk means,Forms with required fields marked by asterisk do not have text explaining what the asterisk means,https://www.drupal.org/project/drupal/issues/3037446,drupal,Needs review,Normal,forms system,11.x-dev,6 years 9 months,1.3.1
3438477,High contrast mode needs some more refinement,High contrast mode needs some more refinement,https://www.drupal.org/project/drupal/issues/3438477,drupal,Active,Normal,navigation.module,11.x-dev,1 year 8 months,1.4.11
3541688,Focus does not move to submenu when opened by enter or space key,Focus does not move to submenu when opened by enter or space key,https://www.drupal.org/project/drupal/issues/3541688,drupal,Active,Normal,navigation.module,11.x-dev,4 months 2 days,2.1.1
2922435,"""Add new comment"" and ""@count comments"" links are not following accessibility good practices","""Add new comment"" and ""@count comments"" links are not following accessibility good practices",https://www.drupal.org/project/drupal/issues/2922435,drupal,Needs work,Normal,comment.module,11.x-dev,8 years 1 month,2.4.4
3331158,Support full-screen editing in CKEditor,Support full-screen editing in CKEditor,https://www.drupal.org/project/drupal/issues/3331158,drupal,Reviewed & tested by the community,Major,ckeditor5.module,11.x-dev,2 years 11 months,3.3.6
3443571,Mobile version of Navigation should have focus trap,Mobile version of Navigation should have focus trap,https://www.drupal.org/project/drupal/issues/3443571,drupal,Needs work,Major,navigation.module,11.x-dev,1 year 7 months,2.4.11
3541728,Submenu opened with hover does not close by Escape key when another menu item has focus,Submenu opened with hover does not close by Escape key when another menu item has focus,https://www.drupal.org/project/drupal/issues/3541728,drupal,Active,Major,navigation.module,11.x-dev,4 months 2 days,2.1.1
3541910,Elements in closed sidebar are focusable,Elements in closed sidebar are focusable,https://www.drupal.org/project/drupal/issues/3541910,drupal,Needs work,Major,navigation.module,11.x-dev,4 months 1 day,2.1.1
2942404,Messages should have role=status instead of role=contentinfo,Messages should have role=status instead of role=contentinfo,https://www.drupal.org/project/drupal/issues/2942404,drupal,Needs work,Normal,markup,11.x-dev,7 years 10 months,1.3.1
3073895,"System Menu blocks placed via Layout Builder can generate duplicate, invalid HTML ID attributes","System Menu blocks placed via Layout Builder can generate duplicate, invalid HTML ID attributes",https://www.drupal.org/project/drupal/issues/3073895,drupal,Needs work,Normal,layout_builder.module,11.x-dev,6 years 4 months,General
1484174,Add HTML5 element: <progress>,Add HTML5 element: <progress>,https://www.drupal.org/project/drupal/issues/1484174,drupal,Needs work,Normal,forms system,11.x-dev,13 years 9 months,General
2293803,Replace confirm password element with a new element that allows toggling to view the typed password,Replace confirm password element with a new element that allows toggling to view the typed password,https://www.drupal.org/project/drupal/issues/2293803,drupal,Needs work,Normal,forms system,11.x-dev,11 years 5 months,General
3559128,Cannot tab to CKEditor5 toolbar,Cannot tab to CKEditor5 toolbar,https://www.drupal.org/project/drupal/issues/3559128,drupal,Active,Normal,ckeditor5.module,11.x-dev,3 weeks 6 days,General
3427039,Provide new AccessibilityHelp toolbar item in CKEditor 5 >=41.2,Provide new AccessibilityHelp toolbar item in CKEditor 5 >=41.2,https://www.drupal.org/project/drupal/issues/3427039,drupal,Needs work,Major,ckeditor5.module,11.x-dev,1 year 9 months,General
3396174,The toolbar should be usable without JS,The toolbar should be usable without JS,https://www.drupal.org/project/drupal/issues/3396174,drupal,Needs work,Normal,navigation.module,11.x-dev,2 years 1 month,General
2608212,Elements on grouped exposed filters configuration form are missing accessible names,Elements on grouped exposed filters configuration form are missing accessible names,https://www.drupal.org/project/drupal/issues/2608212,drupal,Needs review,Normal,views_ui.module,11.x-dev,10 years 1 month,3.3.2
3232414,Image Media thumbnail alt text cannot be changed without reuploading the image,Image Media thumbnail alt text cannot be changed without reuploading the image,https://www.drupal.org/project/drupal/issues/3232414,drupal,Needs work,Normal,media system,11.x-dev,4 years 3 months,1.1.1
2917777,"Improvements to the styling, grouping, etc. of the Layout Builder UI actions form","Improvements to the styling, grouping, etc. of the Layout Builder UI actions form",https://www.drupal.org/project/drupal/issues/2917777,drupal,Active,Major,layout_builder.module,11.x-dev,8 years 2 months,4.1.2
3042984,template_preprocess_username fails to set language attribute,template_preprocess_username fails to set language attribute,https://www.drupal.org/project/drupal/issues/3042984,drupal,Needs work,Normal,user.module,11.x-dev,6 years 9 months,3.1.2
